handle,name,website,industry,size,type,founded,city,state,country_code
company/240miles,240miles eSolutions GmbH,240miles.com,it services and it consulting,1-10,Public Company,2015.0,Kflach,Steiermark,AT
company/240sweet,240sweet,,food and beverage services,11-50,Public Company,2007.0,,,
company/245-hammersmith,245 Hammersmith,245hammersmithroad.com,leasing non-residential real estate,51-200,Privately Held,,London,England,GB
company/247-diamonds-limited,247 DIAMONDS LIMITED,comparethediamond.com,retail,1-10,Privately Held,,Iron Cross Salford Priors,,GB
company/247-digital-marketing,247 Digital Marketing,247digitalmarketing.com,advertising services,1-10,Privately Held,2010.0,,,
company/247-drive,24/7 drive,247drive.nl,staffing and recruiting,501-1K,Privately Held,2006.0,Son,North Brabant,NL
company/247-gold,247GOLD Web Services,insona.com,it services and it consulting,1-10,Privately Held,1998.0,Houston,Texas,US
company/247-logistics-ltd,247 LOGISTICS LTD,247logisticsltd.co.uk,freight and package transportation,,,,Bedford,England,GB
company/247-online-cluezada-shopee-alibaba-amazon-ali-express,247 online cluezada/shopee/alibaba amazon ali express,gmail.com,real estate,11-50,Self-Employed,2014.0,,,
company/247-sécurité-et-services,247 Sécurité et Services,,security and investigations,11-50,Partnership,,Abidjan,Abidjan,CI
company/247-tech-experts,247 Tech Experts,247techexperts.com,it services and it consulting,51-200,,,Ghaziabad,Uttar Pradesh,IN
company/247csr,247csr,247csr.com,outsourcing and offshoring consulting,201-500,Privately Held,2006.0,Batangas City,Batangas,PH
company/247dispatchingservices,247 Dispatching Services,247dispatchingservices.com,truck transportation,1-10,Privately Held,2022.0,Duluth,Georgia,US
company/247drivepl,24/7 drive Sp. z o.o.,247drive.pl,staffing and recruiting,11-50,Privately Held,2018.0,Katowice,Silesia,PL
company/247manufacturing,247Manufacturing,247manufacturing.com,manufacturing,11-50,Privately Held,,Davie,Florida,US
company/2487071,,,,,,,,,
company/249labs-inc,249Labs Inc,249labs.com,software development,1-10,Privately Held,2013.0,Tampa,Florida,US
company/24agenda,24agenda,24agenda.com,it services and it consulting,1-10,Privately Held,2017.0,Vila Nova De Gaia,Porto,PT
